"Source","Target","Weight"
"_1","_1.1","2.0"
"_1.1_BrLeft_2_BrRight_","_1.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_1","_1.1_BrLeft_2_BrRight_","2.0"
"_1","_1.2","2.0"
"_1.3.1","_1.3.1.1","2.0"
"_1.3.1","_1.3.1.2","2.0"
"_1.3","_1.3.1","2.0"
"_1","_1.3","2.0"
"_1.4.1.1","_1.4.1.1._Star__BrLeft_1_BrRight_","2.0"
"_1.4.1.1","_1.4.1.1._Star__BrLeft_2_BrRight_","2.0"
"_1.4.1.1","_1.4.1.1._Star__BrLeft_3_BrRight_","2.0"
"_1.4.1.1","_1.4.1.1._Star__BrLeft_4_BrRight_","2.0"
"_1.4.1.1","_1.4.1.1._Star__BrLeft_5_BrRight_","2.0"
"_1.4.1.1","_1.4.1.1._Star__BrLeft_6_BrRight_","2.0"
"_1.4.1.1","_1.4.1.1._Star__BrLeft_7_BrRight_","2.0"
"_1.4.1","_1.4.1.1","2.0"
"_1.4","_1.4.1","2.0"
"_1","_1.4","2.0"
"_1.5.1","_1.5.1.1","2.0"
"_1.5.1","_1.5.1.2","2.0"
"_1.5.1","_1.5.1.3","2.0"
"_1.5.1","_1.5.1.4","2.0"
"_1.5","_1.5.1","2.0"
"_1","_1.5","2.0"
"_1.6.1","_1.6.1.1","2.0"
"_1.6.1","_1.6.1.2","2.0"
"_1.6","_1.6.1","2.0"
"_1","_1.6","2.0"
"_1.7.1","_1.7.1.1","2.0"
"_1.7.1","_1.7.1.2","2.0"
"_1.7.1","_1.7.1.3","2.0"
"_1.7.1","_1.7.1.4","2.0"
"_1.7.1","_1.7.1.5","2.0"
"_1.7","_1.7.1","2.0"
"_1","_1.7","2.0"
"_1.8.1","_1.8.1.1","2.0"
"_1.8.1","_1.8.1.2","2.0"
"_1.8","_1.8.1","2.0"
"_1.8.2","_1.8.2.1","2.0"
"_1.8","_1.8.2","2.0"
"_1.8.3","_1.8.3.1","2.0"
"_1.8.3","_1.8.3.2","2.0"
"_1.8.3","_1.8.3.3","2.0"
"_1.8","_1.8.3","2.0"
"_1.8.4","_1.8.4.1","2.0"
"_1.8.4","_1.8.4.2","2.0"
"_1.8","_1.8.4","2.0"
"_1.8.5.1","_1.8.5.1.1","2.0"
"_1.8.5","_1.8.5.1","2.0"
"_1.8","_1.8.5","2.0"
"_1.8.6","_1.8.6.1","2.0"
"_1.8","_1.8.6","2.0"
"_1.8.7.1","_1.8.7.1.1","2.0"
"_1.8.7","_1.8.7.1","2.0"
"_1.8","_1.8.7","2.0"
"_1.8.8","_1.8.8.1","2.0"
"_1.8","_1.8.8","2.0"
"_1.8.9","_1.8.9.1","2.0"
"_1.8.9","_1.8.9.2","2.0"
"_1.8","_1.8.9","2.0"
"_1","_1.8","2.0"
"_rootObject_singleton","_1","2.0"
"_2","_2.1","2.0"
"_2.1_BrLeft_2_BrRight_","_2.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_2","_2.1_BrLeft_2_BrRight_","2.0"
"_2","_2.2","2.0"
"_2.3.1","_2.3.1.1","2.0"
"_2.3","_2.3.1","2.0"
"_2","_2.3","2.0"
"_2.4.1","_2.4.1.1","2.0"
"_2.4.1","_2.4.1.2","2.0"
"_2.4.1.3","_2.4.1.3.a","2.0"
"_2.4.1.3","_2.4.1.3.b","2.0"
"_2.4.1.3.c","_2.5.3","1.0"
"_2.4.1.3","_2.4.1.3.c","2.0"
"_2.4.1.3","_2.4.1.3.d","2.0"
"_2.4.1","_2.4.1.3","2.0"
"_2.4","_2.4.1","2.0"
"_2","_2.4","2.0"
"_2.5.1.1","_2.5.1.1.a","2.0"
"_2.5.1.1","_2.5.1.1.b","2.0"
"_2.5.1.1","_2.5.1.1.c","2.0"
"_2.5.1.1","_2.5.1.1.d","2.0"
"_2.5.1.1","_2.5.1.1.e","2.0"
"_2.5.1.1","_2.5.1.1.f","2.0"
"_2.5.1.1","_2.5.1.1.g","2.0"
"_2.5.1","_2.5.1.1","2.0"
"_2.5.1.2","_2.5.1.2.1","2.0"
"_2.5.1.2","_2.5.1.2.2","2.0"
"_2.5.1.2","_2.5.1.2.3","2.0"
"_2.5.1.2","_2.5.1.2.4","2.0"
"_2.5.1.2","_2.5.1.2.5","2.0"
"_2.5.1","_2.5.1.2","2.0"
"_2.5.1.3","_2.5.1.3.1","2.0"
"_2.5.1","_2.5.1.3","2.0"
"_2.5.1.4","_2.5.1.4.1","2.0"
"_2.5.1.4","_2.5.1.4.2","2.0"
"_2.5.1","_2.5.1.4","2.0"
"_2.5.1.5","_2.5.1.5.1","2.0"
"_2.5.1.5","_2.5.1.5.2","2.0"
"_2.5.1.5","_2.5.1.5.3","2.0"
"_2.5.1","_2.5.1.5","2.0"
"_2.5.1.6","_2.5.1.6.1","2.0"
"_2.5.1.6","_2.5.1.6.2","2.0"
"_2.5.1","_2.5.1.6","2.0"
"_2.5.1.7","_2.5.1.7.1","2.0"
"_2.5.1.7","_2.5.1.7.2","2.0"
"_2.5.1","_2.5.1.7","2.0"
"_2.5.1.8","_2.5.1.8.1","2.0"
"_2.5.1","_2.5.1.8","2.0"
"_2.5","_2.5.1","2.0"
"_2.5.2.1","_2.5.2.1.a","2.0"
"_2.5.2.1","_2.5.2.1.b","2.0"
"_2.5.2","_2.5.2.1","2.0"
"_2.5.2.2","_2.5.2.2.1","2.0"
"_2.5.2.2.2","_2.5.2.2.2.a","2.0"
"_2.5.2.2.2","_2.5.2.2.2.b","2.0"
"_2.5.2.2.2","_2.5.2.2.2.c","2.0"
"_2.5.2.2","_2.5.2.2.2","2.0"
"_2.5.2","_2.5.2.2","2.0"
